epoch,train_loss,validation_loss,train_mae_kwh,validation_mae_kwh,learning_rate,is_best
50,0.13903017627349154,0.14454603523617618,0.021857811756155976,0.022151935672046007,0.0005,False
51,0.13913923533648961,0.13519842268453475,0.02185418574479674,0.021571195332885394,0.0005,True
52,0.13895537331022534,0.14230010140979074,0.021833105136599664,0.02202845435002635,0.0005,False
53,0.1386000885113682,0.1449494988263893,0.02180397658358506,0.022203959603705702,0.0005,False
54,0.1387071618887464,0.13602354548241608,0.021824341317346785,0.021613419895010182,0.0005,False
55,0.13862124608964788,0.13895200531547927,0.021815850806213413,0.02182878890923116,0.0005,False
56,0.13878695485444473,0.13787303875437182,0.021828612174896712,0.021718481059347584,0.0005,False
57,0.13847130078269143,0.1397277481565314,0.021793058696022355,0.021781220531546644,0.00025,False
58,0.13716426300204976,0.13731817522199088,0.021694030442558854,0.02166898004649373,0.00025,False
59,0.13743700365222214,0.14014037530806833,0.021727777027748356,0.021891715268708995,0.00025,False
60,0.1365767698801111,0.14408455501246026,0.0216507254711076,0.022156678953470746,0.00025,False
61,0.13744823032862374,0.1425525701446507,0.021721250175537773,0.022005683212479987,0.00025,False
62,0.13707473191190733,0.14221497364566074,0.021686024674604,0.02200384009674528,0.00025,False
63,0.1369551306141263,0.14214295243407962,0.02167445933057287,0.022048084221120586,0.000125,False
64,0.1359362735549212,0.13903548281386757,0.021597903555076105,0.021766125733085843,0.000125,False
65,0.13583242656796896,0.1368433337776558,0.0215959504397286,0.021567937244046737,0.000125,True
66,0.13512072543882145,0.1424253866262574,0.021527794630235214,0.022018375850617767,0.000125,False
67,0.1357769927154554,0.1368275316580311,0.02156036670827311,0.02165097786418445,0.000125,False
68,0.1359547490520994,0.1391069386062083,0.02159627363771012,0.021856265822317984,0.000125,False
69,0.1361721605592272,0.14424383296779805,0.02159664045986243,0.02214353683929815,6.25e-05,False
70,0.1350046031471938,0.13414590946688534,0.02153743976276343,0.021374450023658384,6.25e-05,True
71,0.1357379166535098,0.14159201984832395,0.02156087754398268,0.021936316174646097,6.25e-05,False
72,0.1352484075779613,0.1524681475445022,0.02152802761865727,0.02281865821523187,6.25e-05,False
73,0.1354021990510251,0.13735376015928205,0.021558859238293336,0.02165439594166199,6.25e-05,False
74,0.13490062669574243,0.13352570177062936,0.021510147023979038,0.021385522048471304,6.25e-05,False
75,0.1348795907492855,0.14251184213704018,0.021498544459795155,0.02201805178265383,6.25e-05,False
76,0.13531020554779544,0.13771847006630797,0.02153176068470497,0.021668041317257667,6.25e-05,False
77,0.13534295627668477,0.13319127850096477,0.02152745460505594,0.021336808623512626,6.25e-05,True
78,0.1357037808271313,0.13994038939098027,0.021563392734868753,0.021795392737577014,6.25e-05,False
79,0.13526419510086368,0.14510747413897732,0.021548649571083628,0.022201806356879714,6.25e-05,False
80,0.13501362395408517,0.140604362381767,0.021509321238663167,0.021882336395551337,6.25e-05,False
81,0.13518899803177337,0.1527329420855063,0.021529457459130635,0.02281239538659212,6.25e-05,False
82,0.1350121393962896,0.13798521197813404,0.021505590539540532,0.021687008532866422,6.25e-05,False
83,0.13556197701588651,0.13383455774502728,0.021552185303720016,0.021411533948897735,3.125e-05,False
84,0.13487385728477838,0.14064672989303187,0.02150319428920034,0.021872536039019477,3.125e-05,False
85,0.13489350177442996,0.13802033134708705,0.021517665289904363,0.021718313543370487,3.125e-05,False
86,0.13452849016524657,0.1431802369204185,0.02148778678795532,0.022036190313241198,3.125e-05,False
87,0.13500544052116273,0.14386299894694782,0.021527551100799472,0.02212747739995835,3.125e-05,False
88,0.13457663464966477,0.13599597826405718,0.021463484710217435,0.021545105031604485,3.125e-05,False
89,0.13513182566451226,0.13968487084840356,0.02150484205840699,0.021813864944484212,1.5625e-05,False
90,0.13453616261852022,0.13693663293711847,0.021491317118162122,0.021589902040755782,1.5625e-05,False
91,0.13464388263233734,0.14025453022327306,0.021488735018095773,0.021830169920126645,1.5625e-05,False
92,0.13429916907985998,0.13427950915393086,0.021461302612801547,0.021441454975623917,1.5625e-05,False
