training_fraction,training_trips,training_rows,train_mae_kwh,validation_mae_kwh
0.1,836,17033,0.021549686050505945,0.02472984379048683
0.25,2089,42109,0.021406301840485375,0.023743089748950296
0.5,4177,85423,0.02204722380644474,0.023272076108003213
0.75,6265,127517,0.022152894496222496,0.023117007219108296
1.0,8353,167635,0.022240121641831062,0.0230978963958921
