model,split,rows,mae_kwh,rmse_kwh,r2,smape_pct
dummy_median,validation,36111,0.03948102341081352,0.057411665227452384,-0.05199088248351713,45.407699947967146
dummy_median,test,35528,0.04046796576788322,0.059860840381162454,-0.06494663213480378,45.33647697790267
linear_regression,validation,36111,0.027652909455183984,0.038947964103942787,0.5158485794828526,34.4501015941208
linear_regression,test,35528,0.028481243491668792,0.04055250091464726,0.5112604205095281,34.56666766332231
hist_gradient_boosting,validation,36111,0.0230978963958921,0.03309565363712894,0.6504143365316339,27.814149340184546
hist_gradient_boosting,test,35528,0.023828631864781343,0.03446130136674844,0.6470561873725493,27.756677021451942
